pdb_id,chain,curvature_mean,twist_mean,twist_hand_mean,pitch_mean,pitch_hand_mean,tmscore_mean,yaw_mean,curvature_std,twist_std,twist_hand_std,pitch_std,pitch_hand_std,tmscore_std,yaw_std,classification
3TV0,A,0.005,0.726,0.333,0.023,0,0.365,0.083,0.002,0.962,0.943,0.024,1,0.072,0.057,3.1.2.1
3VE1,A,0.005,0.623,0.333,0.134,0.333,0.391,0.433,0.001,0.162,0.943,0.093,0.943,0.011,0.34,4.2.1
4YO5,H,0.005,0.377,0,0.507,1,0.515,0.347,0.001,0.316,1,0.008,0,0.079,0.258,3.3
5LFC,A,0.005,1.625,-1,0.252,1,0.329,0.255,0.001,0.232,0,0.259,0,0.054,0.312,3.4.2.5
6NJP,A,0.005,1.971,0,1.225,1,0.255,0.953,0.003,0.465,1,0.013,0,0.023,0.059,4.2
1S70,B,0.006,1.199,-0.333,0.119,-0.333,0.587,0.312,0.002,1.239,0.943,0.051,0.943,0.193,0.08,3.3.1.1
1Y52,Y,0.006,1.614,-0.333,0.316,0.333,0.288,1.347,0.003,0.721,0.943,0.178,0.943,0.034,0.516,4.2
4CTD,B,0.006,0.844,0.333,0.385,1,0.557,1.903,0.004,0.714,0.943,0.249,0,0.102,1.266,4.2.1.1
4M9C,A,0.006,0.809,1,0.009,0.333,0.481,0.055,0.002,1.008,0,0.012,0.943,0.03,0.047,4.1
4PMH,A,0.006,0.391,-0.5,0.127,0,0.395,0.118,0.001,0.5,0.866,0.17,1,0.139,0.105,3.1
5HZS,H,0.006,0.078,0,0.04,-1,0.48,1.891,0.001,0.044,1,0.034,0,0.055,0.303,4.2
6L93,A,0.006,0.385,-1,0.281,-1,0.477,0.367,0.001,0.085,0,0.031,0,0.129,0.241,3.3
6NQJ,C,0.006,1.057,-0.333,0.787,-0.333,0.356,1.026,0.005,0.667,0.943,0.525,0.943,0.039,0.372,4.2
6PYH,D,0.006,0.049,-0.333,0.065,1,0.408,0.084,0,0.007,0.943,0.029,0,0.013,0.027,3.2
1EW3,A,0.007,0.441,0,0.78,1,0.347,2.967,0.006,0.279,1,0.206,0,0.007,0.07,4.2.1.2
1IGR,A,0.007,1.533,-0.2,0.455,0.2,0.275,1.31,0.004,0.557,0.98,0.429,0.98,0.055,1.09,3.2
1MR7,A,0.007,0.64,0.333,0.106,-0.333,0.406,0.019,0.003,0.845,0.943,0.142,0.943,0.158,0.005,3.1.2.1
3KWC,F,0.007,1.194,1,0.219,-0.2,0.397,0.188,0.004,0.956,0,0.225,0.98,0.148,0.206,3.1.2.1
3LYC,B,0.007,0.099,-1,0.011,0.333,0.445,0.014,0.015,0.079,0,0.011,0.943,0.094,0.012,3.1
3VTO,Q,0.007,1.513,-1,0.047,-1,0.332,0.042,0.002,1.219,0,0.036,0,0.064,0.027,3.1
4YO5,J,0.007,0.4,1,0.336,1,0.488,0.371,0,0.267,0,0.174,0,0.055,0.247,3.3
4YO5,E,0.007,0.397,1,0.388,1,0.499,0.316,0,0.313,0,0.074,0,0.066,0.291,3.3
4Z05,B,0.007,0.104,-1,0.034,0.714,0.378,0.047,0.015,0.029,0,0.028,0.7,0.087,0.041,3.1
5JMC,B,0.007,0.072,-1,0.01,0.333,0.471,0.01,0.001,0.024,0,0.007,0.943,0.106,0.006,3.1.1.1
6RIA,C,0.007,0.073,-1,0.028,0,0.437,0.023,0,0.019,0,0.018,1,0.063,0.017,3.1
1WBI,F,0.008,0.83,-1,0.096,0.333,0.367,0.517,0.005,0.502,0,0.02,0.943,0.061,0.11,4.2
3NZ2,D,0.008,1.514,-1,0.132,0.5,0.425,0.107,0.003,0.868,0,0.101,0.866,0.09,0.055,3.1.2.1
3OTZ,A,0.008,1.468,-0.5,0.236,0.5,0.496,0.198,0.001,0.836,0.866,0.222,0.866,0.042,0.152,3.1.2.1
3TIO,A,0.008,0.027,0.667,0.021,0.333,0.541,0.009,0.003,0.013,0.745,0.02,0.943,0.11,0.005,3.1.2.1
4TZ1,A,0.008,0.209,-1,0.019,-0.143,0.411,0.033,0.007,0.145,0,0.02,0.99,0.081,0.014,3.1
1CWV,A,0.009,2.526,-0.333,0.186,0.333,0.725,0.403,0,0.683,0.943,0.093,0.943,0.157,0.138,5.4
1QRE,A,0.009,0.051,0.667,0.025,0,0.539,0.022,0.012,0.031,0.745,0.026,1,0.107,0.025,3.1.2.1
2KM4,A,0.009,1.355,-0.333,0.351,1,0.401,0.179,0,1.216,0.943,0.397,0,0.015,0.12,3.3
2R19,B,0.009,0.408,-1,0.109,1,0.66,0.041,0.001,0.037,0,0.011,0,0.036,0.028,3.4.2.1
3JUI,A,0.009,0.924,-1,0.209,-1,0.449,0.41,0.001,0.682,0,0.128,0,0.05,0.302,3.3
4JIW,J,0.009,1.134,-0.5,0.139,0,0.381,0.164,0.003,0.91,0.866,0.02,1,0.081,0.106,3.1
5JXX,A,0.009,0.045,1,0.014,0.25,0.542,0.017,0.011,0.03,0,0.011,0.968,0.114,0.012,3.1
1M8N,B,0.01,0.793,0.667,0.037,-1,0.478,1.018,0.011,1.08,0.745,0.041,0,0.081,1.413,3.1
1YY9,A,0.01,1.112,1,0.827,0.333,0.33,0.962,0.004,0.648,0,0.582,0.943,0.114,0.988,3.2
4EGG,A,0.01,0.169,1,0.003,1,0.384,0.051,0.004,0.125,0,0.004,0,0.089,0.033,3.1.2.1
4JIW,N,0.01,0.944,-1,0.029,-0.333,0.41,0.037,0.004,0.901,0,0.021,0.943,0.09,0.032,3.1
6RIB,I,0.01,0.079,-1,0.009,-0.2,0.434,0.015,0,0.01,0,0.006,0.98,0.083,0.008,3.1
1TYU,A,0.011,1.516,0.333,0.57,-0.333,0.3,1.196,0.007,1.143,0.943,0.456,0.943,0.053,1.025,3.1
3HJJ,A,0.011,1.582,0.333,0.059,1,0.297,0.086,0.003,1.094,0.943,0.037,0,0.041,0.05,3.1.2.1
3KWC,C,0.011,1.324,0.2,0.219,-1,0.389,0.144,0.003,0.98,0.98,0.165,0,0.126,0.176,3.1.2.1
3LYC,D,0.011,0.038,-0.714,0.017,-0.143,0.493,0.02,0.015,0.024,0.7,0.011,0.99,0.059,0.02,3.1
6I2M,A,0.011,1.02,-1,0.33,0,0.528,0.398,0.002,0.633,0,0.032,1,0.197,0.279,3.3
1P5Q,C,0.012,1.015,1,0.512,0,0.691,0.181,0.004,0.368,0,0.341,1,0.103,0.172,3.3
6NQP,G,0.012,1.114,-0.333,0.762,0.333,0.352,1.027,0.009,0.711,0.943,0.503,0.943,0.05,0.432,4.2
1NHC,C,0.013,0.071,-1,0.014,-0.111,0.435,0.031,0.006,0.031,0,0.007,0.994,0.069,0.02,3.1
3P4G,C,0.013,0.041,-1,0.016,-0.167,0.691,0.017,0.021,0.021,0,0.027,0.986,0.134,0.021,3.1
4EGG,D,0.013,0.924,1,0.107,1,0.333,0.089,0.005,0.985,0,0.134,0,0.028,0.092,3.1.2.1
1LLZ,A,0.014,0.556,-0.333,0.05,0.333,0.374,0.55,0.031,0.951,0.943,0.09,0.943,0.124,1.059,4.1
1M8N,A,0.014,0.77,0.667,0.022,-0.333,0.532,1.059,0.025,1.062,0.745,0.021,0.943,0.11,1.46,3.1
2BM4,B,0.014,0.31,-1,0.014,-0.143,0.491,0.021,0.02,0.57,0,0.018,0.99,0.115,0.015,3.1.1.1
3OW5,A,0.014,1.465,-0.5,0.242,0.5,0.493,0.206,0.002,0.834,0.866,0.226,0.866,0.043,0.16,3.1.2.1
6RIB,S,0.014,0.079,-1,0.009,-0.2,0.434,0.016,0,0.01,0,0.005,0.98,0.083,0.008,3.1
3LYC,L,0.015,0.069,-1,0.041,-0.143,0.378,0.022,0.02,0.058,0,0.044,0.99,0.074,0.015,3.1
6RIA,X,0.015,0.056,-1,0.02,0,0.431,0.019,0,0.035,0,0.016,1,0.037,0.011,3.1
4FFB,C,0.016,0.471,0.333,0.223,-0.333,0.485,0.113,0.009,0.307,0.943,0.156,0.943,0.059,0.052,3.3
4I17,A,0.016,0.86,0,0.339,0.5,0.692,0.757,0.003,0.786,1,0.105,0.866,0.095,0.751,3.3
6RIB,K,0.016,0.079,-1,0.009,-0.2,0.434,0.018,0,0.01,0,0.005,0.98,0.083,0.008,3.1
1JC0,C,0.017,1.475,-0.5,0.46,0,0.284,1.374,0.009,1.066,0.866,0.498,1,0.033,0.712,4.2
2OI7,A,0.017,0.08,1,0.015,-0.333,0.453,0.024,0.014,0.058,0,0.013,0.943,0.084,0.016,3.1.2.1
1S80,D,0.018,0.041,0.333,0.018,1,0.442,0.023,0.002,0.027,0.943,0.003,0,0.068,0.009,3.3
2AHX,B,0.018,0.023,-0.333,0.014,-0.333,0.458,0.061,0.002,0.015,0.943,0.008,0.943,0.023,0.04,3.2
3OTM,A,0.018,0.54,0.5,0.14,-0.5,0.521,0.113,0.008,0.766,0.866,0.223,0.866,0.063,0.157,3.1.2.1
3OUP,A,0.019,1.057,0.5,0.133,0,0.501,0.102,0.006,0.992,0.866,0.166,1,0.065,0.088,3.1.2.1
5D0Q,H,0.019,0.63,1,0.36,0,0.745,0.238,0.007,0.321,0,0.084,1,0.116,0.094,3.3
1HM8,A,0.02,0.052,0.778,0.017,-0.111,0.484,0.021,0.02,0.028,0.629,0.014,0.994,0.075,0.021,3.1.2.1
1I78,B,0.021,0.667,-0.5,0.294,-1,0.51,0.697,0.006,1.015,0.866,0.104,0,0.057,0.868,4.2
1IDJ,B,0.021,0.182,-1,0.113,-1,0.461,0.098,0.045,0.209,0,0.106,0,0.138,0.137,3.1
2XTW,D,0.021,0.906,-0.25,0.051,0,0.386,0.175,0.023,1.166,0.968,0.071,1,0.077,0.149,3.1.1.1
3NAW,A,0.021,0.104,-1,0.051,0.2,0.486,0.036,0.002,0.132,0,0.09,0.98,0.096,0.031,3.1.1.1
4URT,A,0.021,1.06,0.333,0.6,0.333,0.305,1.02,0.002,0.602,0.943,0.526,0.943,0.125,0.747,5.2
7O23,A,0.021,0.095,1,0.006,-0.368,0.878,0.01,0.01,0.009,0,0.008,0.93,0.076,0.008,3.1
1TDT,A,0.022,0.052,1,0.012,0,0.565,0.018,0.008,0.031,0,0.011,1,0.021,0.01,3.1.2.1
1Y0G,A,0.022,1.662,-0.333,0.964,-1,0.324,2.161,0.01,0.306,0.943,0.067,0,0.056,0.336,4.2
3BH7,B,0.022,0.055,-1,0.012,-1,0.41,0.037,0.001,0.03,0,0.006,0,0.042,0.02,3.1
4M9C,F,0.022,0.853,1,0.095,-0.333,0.544,0.033,0.005,1.01,0,0.109,0.943,0.18,0.009,3.1.2.1
5GKQ,A,0.022,0.123,-1,0.022,-0.167,0.439,0.065,0.048,0.153,0,0.034,0.986,0.114,0.037,3.1
7JTS,m,0.022,0.376,-1,0.061,0.333,0.329,0.075,0.045,0.085,0,0.04,0.943,0.037,0.057,
4AA7,B,0.023,0.07,0.778,0.012,0.333,0.481,0.024,0.037,0.032,0.629,0.013,0.943,0.149,0.03,3.1.2.1
1FEL,A,0.024,0.659,1,0.773,1,0.361,1.535,0.011,0.195,0,0.102,0,0.013,0.385,4.2.1.2
1QQ0,A,0.024,1.068,0.5,0.125,0,0.505,0.09,0.008,1,0.866,0.16,1,0.066,0.108,3.1.2.1
3KWC,A,0.024,1.298,1,0.23,-0.2,0.393,0.124,0.01,1.005,0,0.215,0.98,0.108,0.131,3.1.2.1
5AWF,E,0.024,0.066,-0.714,0.006,-0.429,0.596,0.035,0.038,0.028,0.7,0.004,0.904,0.098,0.033,3.1
6VFT,B,0.024,2.666,-1,0.08,0.333,0.763,0.048,0.002,0.146,0,0.039,0.943,0.05,0.028,5.4
1EPA,A,0.025,2.621,-1,0.31,0,0.304,1.397,0.006,0.327,0,0.074,1,0.013,0.471,4.2.1.2
1V3W,A,0.025,0.033,0.6,0.015,-0.2,0.486,0.025,0.009,0.027,0.8,0.007,0.98,0.151,0.017,3.1.2.1
4P99,C,0.025,1.571,-1,0.023,0.333,0.98,0.016,0,0,0,0.011,0.943,0.021,0.02,5.5
3S6L,D,0.026,0.093,1,0.006,-0.429,0.791,0.014,0.016,0.011,0,0.004,0.904,0.093,0.009,3.1
7DMK,A,0.026,0.058,-0.667,0.024,0,0.517,0.025,0.012,0.025,0.745,0.029,1,0.084,0.013,3.1
1O8G,A,0.027,0.137,-1,0.018,-0.5,0.416,0.03,0.044,0.054,0,0.014,0.866,0.116,0.031,3.1
2J8K,A,0.027,0.03,-1,0.005,-0.429,0.784,0.026,0.007,0.011,0,0.004,0.904,0.113,0.012,3.1
2WLD,A,0.027,0.063,1,0.008,0,0.481,0.037,0.035,0.049,0,0.004,1,0.11,0.045,3.1.2.1
4WWP,A,0.027,0.685,0.333,0.18,-1,0.387,0.505,0.005,0.859,0.943,0.066,0,0.031,0.457,3.3
6PQP,D,0.027,0.497,-1,0.246,-0.143,0.54,0.869,0.059,0.868,0,0.119,0.99,0.257,1.149,3.3.1.1
1O8K,A,0.028,0.182,-1,0.016,0.5,0.386,0.05,0.025,0.162,0,0.017,0.866,0.154,0.025,3.1
3LYC,I,0.028,0.056,-0.714,0.015,-0.429,0.447,0.033,0.046,0.035,0.7,0.012,0.904,0.085,0.04,3.1
3PSS,B,0.028,0.774,-0.25,0.139,0.75,0.386,0.1,0.066,1.028,0.968,0.163,0.661,0.103,0.11,3.1.1.1
4AA7,A,0.028,0.05,0.75,0.018,0.25,0.476,0.041,0.042,0.03,0.661,0.018,0.968,0.069,0.045,3.1.2.1
3IXE,A,0.029,0.244,-1,0.313,0.5,0.618,0.318,0.015,0.124,0,0.141,0.866,0.207,0.166,3.3.1.1
3LYC,C,0.029,0.046,-0.429,0.01,-0.143,0.469,0.029,0.011,0.035,0.904,0.006,0.99,0.083,0.016,3.1
6KVE,A,0.029,0.196,-1,0.019,-0.111,0.423,0.062,0.021,0.24,0,0.026,0.994,0.13,0.085,3.1
2W0W,A,0.03,0.082,1,0.024,0.111,0.518,0.038,0.02,0.048,0,0.009,0.994,0.122,0.018,3.1.2.1
2XTW,B,0.03,0.581,-0.25,0.062,0,0.436,0.128,0.048,0.969,0.968,0.092,1,0.119,0.119,3.1.1.1
3FS8,A,0.03,0.06,1,0.006,0,0.458,0.044,0.055,0.049,0,0.003,1,0.102,0.057,3.1.2.1
4RU4,A,0.03,0.366,-0.818,0.058,0.091,0.384,0.046,0.043,0.429,0.575,0.063,0.996,0.101,0.041,3.1
1SSM,E,0.031,0.718,0.333,0.063,-0.333,0.393,0.045,0.003,0.937,0.943,0.056,0.943,0.083,0.002,3.1.2.1
3NB2,A,0.031,0.123,-1,0.04,0.6,0.5,0.042,0.002,0.137,0,0.072,0.8,0.122,0.033,3.1.1.1
4YZ0,A,0.031,0.093,-1,0.031,-0.429,0.395,0.049,0.045,0.019,0,0.034,0.904,0.126,0.063,3.1
6RIA,I,0.031,0.08,-1,0.014,-0.5,0.432,0.023,0.001,0.031,0,0.01,0.866,0.072,0.012,3.1
3VST,B,0.032,0.408,-0.556,0.058,0.333,0.431,0.069,0.056,0.48,0.831,0.113,0.943,0.135,0.077,3.1
6NQN,E,0.033,1.643,0.333,0.943,0.333,0.354,1.359,0.024,0.377,0.943,0.254,0.943,0.045,0.439,4.2
1EE6,A,0.034,0.091,-1,0.028,-0.333,0.384,0.048,0.015,0.05,0,0.042,0.943,0.095,0.037,3.1
2UVE,B,0.034,0.36,-1,0.055,0,0.464,0.064,0.044,0.823,0,0.119,1,0.114,0.082,3.1
1QRM,A,0.035,0.077,1,0.039,0.667,0.503,0.058,0.025,0.045,0,0.069,0.745,0.084,0.038,3.1.2.1
2XT4,A,0.035,0.26,-0.75,0.046,-0.75,0.511,0.05,0.027,0.502,0.661,0.059,0.661,0.145,0.044,3.1.1.1
3QRA,A,0.035,1.818,-0.333,0.657,-0.333,0.442,1.686,0.015,1.256,0.943,0.509,0.943,0.019,1.01,4.2
5F42,A,0.035,0.04,1,0.01,-0.5,0.568,0.038,0.047,0.02,0,0.01,0.866,0.134,0.043,3.1
6AMY,A,0.035,0.039,1,0.013,0.2,0.515,0.038,0.002,0.015,0,0.011,0.98,0.06,0.016,3.1
2F9C,B,0.036,0.408,-0.5,0.025,0,0.425,0.067,0.04,0.81,0.866,0.027,1,0.092,0.08,3.1
3MQG,A,0.036,0.171,1,0.103,0,0.756,0.025,0.013,0.038,0,0.029,1,0.017,0.001,3.1.2.1
4FCE,A,0.036,0.094,0.778,0.024,0.556,0.46,0.042,0.055,0.075,0.629,0.022,0.831,0.122,0.054,3.1.2.1
6WQM,E,0.036,0.042,1,0.019,-0.2,0.571,0.026,0.001,0.021,0,0.022,0.98,0.096,0.018,3.1.1
2XQH,A,0.037,0.079,1,0.018,-0.143,0.643,0.048,0.032,0.039,0,0.026,0.99,0.157,0.048,3.1
3A5C,B,0.037,1.862,-1,0.968,0,0.221,1.906,0.028,0.093,0,0.213,1,0.05,0.05,4.2
3EH0,C,0.037,0.543,0.75,0.067,-0.25,0.559,0.076,0.055,0.874,0.661,0.146,0.968,0.129,0.075,3.1.2.1
3GOS,A,0.037,0.035,1,0.014,0,0.561,0.028,0.001,0.019,0,0.011,1,0.053,0.01,3.1
1FXJ,B,0.038,0.052,1,0.006,0.333,0.527,0.046,0.012,0.03,0,0.004,0.943,0.169,0.014,3.1.2.1
4XBM,A,0.038,2.562,1,0.097,0,0.67,0.053,0.002,0.011,0,0.038,1,0.11,0.008,5.2
2OI6,A,0.039,0.079,0.778,0.022,-0.111,0.421,0.041,0.04,0.046,0.629,0.013,0.994,0.097,0.03,3.1.2.1
4JIW,A,0.039,1.891,1,0.152,1,0.589,0.025,0,0.002,0,0.015,0,0.093,0.011,3.1
5JD2,D,0.039,1.103,-0.333,0.992,-0.333,0.273,0.456,0.005,0.827,0.943,0.202,0.943,0.049,0.257,4.2
1SSM,F,0.04,0.046,-0.333,0.011,-1,0.402,0.044,0.022,0.029,0.943,0.004,0,0.146,0.013,3.1.2.1
2VDC,A,0.04,0.15,-1,0.058,-0.667,0.391,0.063,0.017,0.068,0,0.048,0.745,0.111,0.042,3.1
3C8V,C,0.041,0.031,1,0.014,0.6,0.415,0.023,0.001,0.021,0,0.011,0.8,0.073,0.012,3.1.2.1
3DU1,X,0.041,0.077,-1,0.01,0.333,0.655,0.044,0.077,0.047,0,0.01,0.943,0.09,0.073,3.1.1.1
3R0S,A,0.041,0.054,1,0.008,-0.75,0.565,0.032,0.021,0.039,0,0.009,0.661,0.119,0.021,3.1
3LVA,A,0.042,1.605,0,0.553,0,0.287,0.56,0.029,0.922,1,0.498,1,0.025,0.382,4.2
4Z03,A,0.042,0.079,-1,0.021,0.667,0.415,0.042,0.011,0.017,0,0.017,0.745,0.118,0.028,3.1
1O8J,A,0.043,0.281,-1,0.043,-0.5,0.362,0.075,0.086,0.315,0,0.037,0.866,0.124,0.113,3.1
2W7Z,B,0.043,1.461,0.6,0.157,-0.6,0.372,0.135,0.021,0.217,0.8,0.058,0.8,0.091,0.139,3.1.1.1
2X4M,A,0.043,0.101,-0.5,0.502,-1,0.48,0.185,0.028,0.022,0.866,0.234,0,0.059,0.182,4.2
7AKV,G,0.044,0.094,-0.867,0.018,-0.2,0.49,0.049,0.046,0.071,0.499,0.014,0.98,0.147,0.04,3.1
7O7A,A,0.044,0.079,-0.692,0.04,-0.231,0.452,0.064,0.04,0.04,0.722,0.075,0.973,0.134,0.058,3.1
1KRV,B,0.045,0.087,1,0.02,0,0.408,0.075,0.033,0.064,0,0.015,1,0.133,0.077,3.1.2.1
